X, Y
4e-08, -178.234
4.1e-08, -178.298
4.2e-08, -135.045
4.3e-08, -112.884
4.4e-08, -137.693
4.5e-08, -122.648
4.6e-08, -100.493
4.7e-08, -82.7816
4.8e-08, -82.8472
4.9e-08, -88.0982
5e-08, -82.8295
5.1e-08, 12.089
5.3e-08, 21.7248
5.9e-08, 23.4847
6e-08, 51.8372
6.1e-08, 59.7463
6.6e-08, 109.019
6.7e-08, 115.145
7.1e-08, 126.608
7.2e-08, 141.624
7.9e-08, 153.57
8e-08, 176.819
8.9e-08, 176.104
9e-08, 175.816
9.1e-08, 175.733
9.2e-08, 175.651
9.3e-08, 175.572
9.5e-08, 175.052
1e-07, 174.544
1.01e-07, 174.819
1.02e-07, 174.516
1.03e-07, 174.329
1.04e-07, 174.238
1.05e-07, 174.147
1.06e-07, 174.057
1.09e-07, 173.196
1.1e-07, 173.095
1.11e-07, 172.995
1.12e-07, 172.898
1.13e-07, 172.804
1.19e-07, 172.536
1.2e-07, 172.441

